case,noalt,alt,choice,traveltime,cost,freq,male,income,cost_coverage
1,3,Car,0,117,65,1,0,2,0
1,3,SM,1,63,52,20,0,2,0
1,3,Train,0,112,48,120,0,2,0
2,2,SM,1,76,70,20,0,1,0
2,2,Train,0,184,62,120,0,1,0
3,3,Car,0,105,40,1,1,2,0
3,3,SM,1,29,35,10,1,2,0
3,3,Train,0,58,32,30,1,2,0
4,3,Car,0,135,80,1,1,3,0
4,3,SM,1,65,45,10,1,3,0
4,3,Train,0,138,40,30,1,3,0
5,2,SM,1,216,72,20,1,3,0
5,2,Train,0,269,70,120,1,3,0
6,3,Car,0,70,35,1,0,3,0
6,3,SM,1,46,38,30,0,3,0
6,3,Train,0,116,35,120,0,3,0
7,3,Car,0,117,140,1,1,1,0
7,3,SM,1,32,49,20,1,1,0
7,3,Train,0,87,42,120,1,1,0
8,3,Car,0,130,30,1,1,3,0
8,3,SM,1,56,34,20,1,3,0
8,3,Train,0,109,26,120,1,3,0
9,3,Car,0,60,32,1,1,2,0
9,3,SM,1,53,28,10,1,2,0
9,3,Train,0,116,24,30,1,2,0
10,2,SM,1,59,46,30,0,1,1
10,2,Train,0,131,42,120,0,1,1
11,2,SM,1,52,38,10,1,2,1
11,2,Train,0,116,32,30,1,2,1
12,2,SM,1,66,42,10,0,2,1
12,2,Train,0,131,36,30,0,2,1
13,2,SM,1,86,40,30,1,1,1
13,2,Train,0,168,37,120,1,1,1
14,3,Car,0,91,100,1,1,2,1
14,3,SM,1,77,38,20,1,2,1
14,3,Train,0,130,31,120,1,2,1
15,2,SM,1,41,31,30,1,2,1
15,2,Train,0,111,26,120,1,2,1
16,3,Car,0,190,80,1,1,2,1
16,3,SM,1,79,66,10,1,2,1
16,3,Train,0,208,62,30,1,2,1
17,3,Car,0,90,20,1,1,2,0
17,3,SM,1,61,26,10,1,2,0
17,3,Train,0,132,23,30,1,2,0
18,3,Car,0,110,32,1,1,3,0
18,3,SM,1,95,27,10,1,3,0
18,3,Train,0,186,24,30,1,3,0
19,3,Car,1,1200,10,1,0,1,0
19,3,SM,0,121,27,30,0,1,0
19,3,Train,0,212,26,120,0,1,0
20,3,Car,0,110,30,1,0,1,1
20,3,SM,1,96,32,30,0,1,1
20,3,Train,0,179,31,120,0,1,1
22,3,Car,1,70,36,1,1,3,1
22,3,SM,0,43,62,10,1,3,1
22,3,Train,0,108,52,30,1,3,1
23,3,Car,0,78,50,1,1,2,1
23,3,SM,1,49,68,20,1,2,1
23,3,Train,0,102,54,120,1,2,1
24,2,SM,1,60,128,30,1,2,1
24,2,Train,0,210,118,120,1,2,1
25,3,Car,1,182,90,1,1,3,1
25,3,SM,0,66,139,20,1,3,1
25,3,Train,0,179,119,120,1,3,1
26,3,Car,0,190,44,1,1,2,1
26,3,SM,1,77,84,10,1,2,1
26,3,Train,0,233,74,30,1,2,1
27,2,SM,1,31,46,20,1,2,1
27,2,Train,0,86,36,120,1,2,1
28,2,SM,1,68,65,20,1,1,0
28,2,Train,0,92,60,120,1,1,0
29,3,Car,0,91,80,1,0,2,0
29,3,SM,0,55,65,20,0,2,0
29,3,Train,1,110,60,120,0,2,0
30,3,Car,0,70,27,1,1,2,1
30,3,SM,1,46,60,30,1,2,1
30,3,Train,0,118,60,120,1,2,1
31,3,Car,0,182,80,1,1,3,1
31,3,SM,1,69,65,20,1,3,1
31,3,Train,0,182,60,120,1,3,1
55,2,SM,1,55,162,30,0,1,0
55,2,Train,0,131,162,120,0,1,0
57,3,Car,0,160,105,1,0,3,1
57,3,SM,1,102,60,30,0,3,1
57,3,Train,0,257,60,120,0,3,1
59,3,Car,0,190,110,1,0,3,1
59,3,SM,1,71,168,30,0,3,1
59,3,Train,0,292,168,120,0,3,1
61,3,Car,0,160,115,1,0,1,0
61,3,SM,1,84,20,30,0,1,0
61,3,Train,0,240,20,120,0,1,0
62,3,Car,0,210,88,1,0,2,0
62,3,SM,1,123,84,10,0,2,0
62,3,Train,0,186,81,30,0,2,0
63,3,Car,0,78,35,1,0,2,0
63,3,SM,1,67,65,20,0,2,0
63,3,Train,0,120,50,120,0,2,0
64,3,Car,0,80,40,1,1,3,0
64,3,SM,1,48,71,10,1,3,0
64,3,Train,0,113,60,30,1,3,0
65,3,Car,0,140,72,1,1,2,1
65,3,SM,1,79,97,10,1,2,1
65,3,Train,0,215,84,30,1,2,1
66,3,Car,0,135,56,1,0,2,1
66,3,SM,1,122,78,10,0,2,1
66,3,Train,0,206,71,30,0,2,1
67,3,Car,0,90,60,1,1,2,1
67,3,SM,1,62,84,30,1,2,1
67,3,Train,0,140,78,120,1,2,1
68,3,Car,0,60,35,1,1,2,1
68,3,SM,1,70,58,30,1,2,1
68,3,Train,0,147,50,120,1,2,1
69,3,Car,0,150,240,1,1,3,1
69,3,SM,1,113,112,30,1,3,1
69,3,Train,0,202,110,120,1,3,1
70,3,Car,0,60,50,1,0,2,1
70,3,SM,1,44,78,30,0,2,1
70,3,Train,0,116,72,120,0,2,1
71,3,Car,0,143,95,1,0,3,1
71,3,SM,1,64,112,20,0,3,1
71,3,Train,0,177,101,120,0,3,1
72,3,Car,0,130,144,1,1,2,1
72,3,SM,1,78,92,20,1,2,1
72,3,Train,0,127,85,120,1,2,1
73,2,SM,1,38,58,20,1,3,1
73,2,Train,0,91,46,120,1,3,1
75,3,Car,0,156,50,1,1,2,1
75,3,SM,1,87,48,20,1,2,1
75,3,Train,0,98,48,120,1,2,1
76,2,SM,1,43,116,20,1,3,1
76,2,Train,0,62,76,120,1,3,1
77,3,Car,0,117,65,1,0,2,1
77,3,SM,1,71,169,20,0,2,1
77,3,Train,0,126,156,120,0,2,1
78,2,SM,1,57,167,30,0,3,1
78,2,Train,0,135,156,120,0,3,1
79,3,Car,0,80,80,1,1,3,1
79,3,SM,1,78,153,30,1,3,1
79,3,Train,0,122,145,120,1,3,1
80,2,SM,1,64,82,20,1,3,0
80,2,Train,0,117,70,120,1,3,0
82,3,Car,0,195,140,1,1,3,0
82,3,SM,1,56,108,20,1,3,0
82,3,Train,0,169,100,120,1,3,0
84,3,Car,0,150,100,1,1,3,1
84,3,SM,1,63,100,30,1,3,1
84,3,Train,0,209,100,120,1,3,1
85,3,Car,1,60,28,1,1,3,1
85,3,SM,0,48,100,10,1,3,1
85,3,Train,0,111,83,30,1,3,1
86,3,Car,0,250,205,1,1,3,1
86,3,SM,1,76,100,30,1,3,1
86,3,Train,0,249,100,120,1,3,1
87,3,Car,0,182,85,1,1,2,1
87,3,SM,1,126,108,20,1,2,1
87,3,Train,0,181,100,120,1,2,1
102,3,Car,0,60,40,1,0,3,0
102,3,SM,1,33,179,30,0,3,0
102,3,Train,0,103,179,120,0,3,0
103,2,SM,1,28,209,30,0,2,1
103,2,Train,0,61,209,120,0,2,1
104,3,Car,0,78,40,1,1,3,1
104,3,SM,1,44,289,20,1,3,1
104,3,Train,0,97,266,120,1,3,1
105,3,Car,0,117,45,1,0,3,1
105,3,SM,1,91,294,20,0,3,1
105,3,Train,0,115,271,120,0,3,1
106,3,Car,0,150,65,1,0,2,0
106,3,SM,1,135,64,30,0,2,0
106,3,Train,0,215,62,120,0,2,0
107,3,Car,0,120,48,1,0,1,0
107,3,SM,1,87,45,10,0,1,0
107,3,Train,0,162,40,30,0,1,0
108,2,SM,1,49,46,30,0,2,0
108,2,Train,0,125,43,120,0,2,0
109,2,SM,1,104,57,20,0,2,0
109,2,Train,0,147,54,120,0,2,0
110,2,SM,1,63,82,20,1,3,0
110,2,Train,0,192,74,120,1,3,0
111,3,Car,0,90,40,1,0,1,0
111,3,SM,1,65,43,10,0,1,0
111,3,Train,0,136,38,30,0,1,0
112,3,Car,0,90,12,1,0,2,0
112,3,SM,1,33,42,10,0,2,0
112,3,Train,0,98,35,30,0,2,0
113,2,SM,1,83,42,30,1,1,0
113,2,Train,0,113,38,120,1,1,0
115,3,Car,0,195,90,1,1,2,1
115,3,SM,1,63,53,20,1,2,1
115,3,Train,0,87,54,120,1,2,1
116,2,SM,1,48,52,30,0,3,1
116,2,Train,0,150,48,120,0,3,1
118,2,SM,1,34,38,20,0,2,.5
118,2,Train,0,89,30,120,0,2,.5
120,3,Car,0,65,24,1,1,1,1
120,3,SM,1,44,16,20,1,1,1
120,3,Train,0,68,13,120,1,1,1
121,3,Car,0,52,60,1,1,3,1
121,3,SM,1,48,15,20,1,3,1
121,3,Train,0,72,12,120,1,3,1
123,2,SM,1,79,86,10,0,1,0
123,2,Train,0,150,76,30,0,1,0
124,2,SM,1,44,65,20,1,1,0
124,2,Train,0,97,52,120,1,1,0
125,3,Car,0,117,50,1,1,1,0
125,3,SM,1,70,108,20,1,1,0
125,3,Train,0,125,100,120,1,1,0
126,3,Car,0,210,50,1,0,1,1
126,3,SM,1,33,139,30,0,1,1
126,3,Train,0,67,137,120,0,1,1
127,3,Car,0,91,20,1,1,1,1
127,3,SM,1,81,48,20,1,1,1
127,3,Train,0,105,42,120,1,1,1
128,2,SM,1,37,65,20,1,1,.5
128,2,Train,0,92,60,120,1,1,.5
129,3,Car,0,100,40,1,1,1,1
129,3,SM,1,56,60,30,1,1,1
129,3,Train,0,158,60,120,1,1,1
167,2,SM,1,37,333,20,0,1,0
167,2,Train,0,90,307,120,0,1,0
168,2,SM,1,45,302,10,0,1,0
168,2,Train,0,76,252,30,0,1,0
169,3,Car,0,40,25,1,0,2,0
169,3,SM,1,26,122,30,0,2,0
169,3,Train,0,59,122,120,0,2,0
170,3,Car,0,117,35,1,0,3,0
170,3,SM,1,33,290,20,0,3,0
170,3,Train,0,57,268,120,0,3,0
171,3,Car,0,78,40,1,0,3,0
171,3,SM,1,55,320,20,0,3,0
171,3,Train,0,79,295,120,0,3,0
172,2,SM,1,25,290,20,1,2,0
172,2,Train,0,49,268,120,1,2,0
173,2,SM,1,47,357,10,1,2,0
173,2,Train,0,66,268,120,1,2,0
174,3,Car,0,40,30,1,1,2,0
174,3,SM,1,23,282,30,1,2,0
174,3,Train,0,56,282,120,1,2,0
175,2,SM,1,32,239,10,1,3,0
175,2,Train,0,61,199,30,1,3,0
177,3,Car,0,60,24,1,0,2,1
177,3,SM,1,45,282,10,0,2,1
177,3,Train,0,74,235,30,0,2,1
178,3,Car,0,60,40,1,1,1,1
178,3,SM,1,31,360,30,1,1,1
178,3,Train,0,66,360,120,1,1,1
179,3,Car,0,40,24,1,1,3,1
179,3,SM,1,37,268,10,1,3,1
179,3,Train,0,66,223,30,1,3,1
180,3,Car,0,60,40,1,0,1,.5
180,3,SM,1,32,308,30,0,1,.5
180,3,Train,0,69,308,120,0,1,.5
181,3,Car,0,60,32,1,0,2,.5
181,3,SM,1,36,295,10,0,2,.5
181,3,Train,0,69,246,30,0,2,.5
182,3,Car,0,78,40,1,0,2,0
182,3,SM,1,52,195,20,0,2,0
182,3,Train,0,105,180,120,0,2,0
184,2,SM,1,94,90,20,0,1,0
184,2,Train,0,149,82,120,0,1,0
185,3,Car,0,104,50,1,0,2,0
185,3,SM,1,44,84,20,0,2,0
185,3,Train,0,99,72,120,0,2,0
187,3,Car,0,120,140,1,1,3,0
187,3,SM,1,92,94,30,1,3,0
187,3,Train,0,172,94,120,1,3,0
188,2,SM,1,106,118,10,1,2,1
188,2,Train,0,261,105,30,1,2,1
189,3,Car,0,40,25,1,1,1,1
189,3,SM,1,28,38,30,1,1,1
189,3,Train,0,61,35,120,1,1,1
190,3,Car,0,120,70,1,1,3,.5
190,3,SM,1,111,94,30,1,3,.5
190,3,Train,0,190,91,120,1,3,.5
191,2,SM,1,32,20,10,1,3,1
191,2,Train,0,61,17,30,1,3,1
192,3,Car,0,150,68,1,1,1,0
192,3,SM,1,86,198,10,1,1,0
192,3,Train,0,219,176,30,1,1,0
193,3,Car,0,60,30,1,0,2,1
193,3,SM,1,43,77,30,0,2,1
193,3,Train,0,76,70,120,0,2,1
195,3,Car,0,156,110,1,1,3,1
195,3,SM,1,35,108,20,1,3,1
195,3,Train,0,59,100,120,1,3,1
196,3,Car,0,156,100,1,0,3,1
196,3,SM,1,59,108,20,0,3,1
196,3,Train,0,135,100,120,0,3,1
197,2,SM,1,23,100,30,0,2,1
197,2,Train,0,56,100,120,0,2,1
213,3,Car,0,65,20,1,1,1,0
213,3,SM,1,35,222,20,1,1,0
213,3,Train,0,59,205,120,1,1,0
214,3,Car,0,50,25,1,0,2,1
214,3,SM,1,18,443,30,0,2,1
214,3,Train,0,51,443,120,0,2,1
215,3,Car,0,50,20,1,1,2,1
215,3,SM,1,32,420,10,1,2,1
215,3,Train,0,61,350,30,1,2,1
216,2,SM,1,53,557,30,0,1,1
216,2,Train,0,92,557,120,0,1,1
217,3,Car,0,40,64,1,1,3,0
217,3,SM,0,12,42,10,1,3,0
217,3,Train,1,41,35,30,1,3,0
218,3,Car,0,40,84,1,1,3,.5
218,3,SM,0,19,209,30,1,3,.5
218,3,Train,1,52,209,120,1,3,.5
219,2,SM,1,100,88,20,0,2,0
219,2,Train,0,229,77,120,0,2,0
220,2,SM,1,25,21,10,1,2,0
220,2,Train,0,54,18,30,1,2,0
221,3,Car,0,70,20,1,0,2,0
221,3,SM,1,31,34,30,0,2,0
221,3,Train,0,103,30,120,0,2,0
222,2,SM,1,100,91,20,1,1,0
222,2,Train,0,227,79,120,1,1,0
223,2,SM,0,134,64,10,0,1,0
223,2,Train,1,280,57,30,0,1,0
224,3,Car,0,104,35,1,1,2,0
224,3,SM,1,51,40,20,1,2,0
224,3,Train,0,75,35,120,1,2,0
225,2,SM,0,198,42,10,0,2,0
225,2,Train,1,294,38,30,0,2,0
226,2,SM,1,73,46,20,0,1,0
226,2,Train,0,128,42,120,0,1,0
227,2,SM,1,63,29,10,1,1,0
227,2,Train,0,131,26,30,1,1,0
228,2,SM,1,42,43,10,1,1,0
228,2,Train,0,107,38,30,1,1,0
229,2,SM,1,78,62,20,1,1,0
229,2,Train,0,154,58,120,1,1,0
230,2,SM,1,40,32,20,0,1,0
230,2,Train,0,89,26,120,0,1,0
231,3,Car,0,110,52,1,0,1,0
231,3,SM,1,52,45,10,0,1,0
231,3,Train,0,143,40,30,0,1,0
232,2,SM,1,39,26,10,1,1,0
232,2,Train,0,70,24,30,1,1,0
233,2,SM,1,38,22,30,1,1,0
233,2,Train,0,71,19,120,1,1,0
234,2,SM,1,63,26,10,1,2,0
234,2,Train,0,130,22,30,1,2,0
235,3,Car,0,221,100,1,1,2,0
235,3,SM,1,180,78,20,1,2,0
235,3,Train,0,254,67,120,1,2,0
236,2,SM,1,71,40,30,0,1,0
236,2,Train,0,151,35,120,0,1,0
237,3,Car,0,160,100,1,1,1,0
237,3,SM,1,95,70,30,1,1,0
237,3,Train,0,247,65,120,1,1,0
238,3,Car,0,190,95,1,1,2,0
238,3,SM,0,70,72,30,1,2,0
238,3,Train,1,213,68,120,1,2,0
239,2,SM,1,105,38,20,0,2,0
239,2,Train,0,129,31,120,0,2,0
240,3,Car,0,50,20,1,0,2,0
240,3,SM,0,52,20,10,0,2,0
240,3,Train,1,81,18,30,0,2,0
241,3,Car,0,190,130,1,0,2,0
241,3,SM,0,93,78,30,0,2,0
241,3,Train,1,266,74,120,0,2,0
242,3,Car,0,60,32,1,0,2,0
242,3,SM,0,45,28,10,0,2,0
242,3,Train,1,78,25,30,0,2,0
244,2,SM,0,95,42,30,0,1,0
244,2,Train,1,125,38,120,0,1,0
245,3,Car,1,75,56,1,0,1,0
245,3,SM,0,70,45,10,0,1,0
245,3,Train,0,161,40,30,0,1,0
246,3,Car,0,110,70,1,0,2,0
246,3,SM,1,70,50,30,0,2,0
246,3,Train,0,144,48,120,0,2,0
248,2,SM,0,62,29,10,1,1,0
248,2,Train,1,96,26,30,1,1,0
250,2,SM,1,36,42,10,1,1,0
250,2,Train,0,101,35,30,1,1,0
251,3,Car,0,143,35,1,0,3,0
251,3,SM,1,49,53,20,0,3,0
251,3,Train,0,125,48,120,0,3,0
252,3,Car,0,143,65,1,1,2,0
252,3,SM,1,39,53,20,1,2,0
252,3,Train,0,115,48,120,1,2,0
254,2,SM,1,55,45,10,0,2,0
254,2,Train,0,146,40,30,0,2,0
255,3,Car,0,80,40,1,0,3,0
255,3,SM,1,78,43,10,0,3,0
255,3,Train,0,150,38,30,0,3,0
257,3,Car,0,143,70,1,1,2,0
257,3,SM,1,88,54,20,1,2,0
257,3,Train,0,131,50,120,1,2,0
258,2,SM,0,63,57,10,0,2,0
258,2,Train,1,192,52,30,0,2,0
260,2,SM,1,71,58,20,0,1,0
260,2,Train,0,147,54,120,0,1,0
261,2,SM,1,38,22,30,1,1,0
261,2,Train,0,71,19,120,1,1,0
266,3,Car,0,60,8,1,1,2,0
266,3,SM,1,52,12,10,1,2,0
266,3,Train,0,81,10,30,1,2,0
268,2,SM,1,14,15,20,1,1,0
268,2,Train,0,38,12,120,1,1,0
269,3,Car,0,70,50,1,0,1,0
269,3,SM,1,45,83,30,0,1,0
269,3,Train,0,122,76,120,0,1,0
271,2,SM,1,86,144,20,1,2,0
271,2,Train,0,199,127,120,1,2,0
272,2,SM,1,94,80,30,0,1,0
272,2,Train,0,141,62,120,0,1,0
273,3,Car,0,156,85,1,0,2,0
273,3,SM,1,90,108,20,0,2,0
273,3,Train,0,166,96,120,0,2,0
274,3,Car,0,60,40,1,0,3,0
274,3,SM,1,46,65,30,0,3,0
274,3,Train,0,116,58,120,0,3,0
275,2,SM,1,81,62,10,0,1,0
275,2,Train,0,143,52,30,0,1,0
276,3,Car,0,52,20,1,0,1,0
276,3,SM,0,36,57,20,0,1,0
276,3,Train,1,60,46,120,0,1,0
277,2,SM,1,106,123,10,0,1,0
277,2,Train,0,243,108,30,0,1,0
280,3,Car,0,70,28,1,0,1,0
280,3,SM,0,37,52,10,0,1,0
280,3,Train,1,66,45,30,0,1,0
281,3,Car,0,50,30,1,0,2,0
281,3,SM,1,20,50,30,0,2,0
281,3,Train,0,53,44,120,0,2,0
282,3,Car,0,70,40,1,0,1,0
282,3,SM,1,74,76,10,0,1,0
282,3,Train,0,114,68,30,0,1,0
283,3,Car,0,221,100,1,0,1,0
283,3,SM,0,108,149,20,0,1,0
283,3,Train,1,216,130,120,0,1,0
284,2,SM,1,22,53,20,1,1,0
284,2,Train,0,46,44,120,1,1,0
286,3,Car,0,210,52,1,0,1,0
286,3,SM,1,107,84,10,0,1,0
286,3,Train,0,262,74,30,0,1,0
287,2,SM,0,100,84,10,1,1,0
287,2,Train,1,219,67,60,1,1,0
288,2,SM,0,90,104,10,1,1,0
288,2,Train,1,200,89,60,1,1,0
289,2,SM,1,34,29,10,0,2,0
289,2,Train,0,92,24,30,0,2,0
292,3,Car,0,160,76,1,0,3,0
292,3,SM,1,85,60,10,0,3,0
292,3,Train,0,222,50,30,0,3,0
293,3,Car,0,170,92,1,0,2,0
293,3,SM,0,98,60,10,0,2,0
293,3,Train,1,232,50,30,0,2,0
294,2,SM,1,67,60,10,0,1,0
294,2,Train,0,203,50,30,0,1,0
337,2,SM,0,32,251,10,0,1,1
337,2,Train,1,61,209,30,0,1,1
339,2,SM,1,49,259,30,0,1,0
339,2,Train,0,121,259,120,0,1,0
340,2,SM,1,56,70,20,1,1,0
340,2,Train,0,80,65,120,1,1,0
341,3,Car,1,45,30,1,1,1,0
341,3,SM,0,29,53,30,1,1,0
341,3,Train,0,63,53,120,1,1,0
342,3,Car,0,140,85,1,0,3,0
342,3,SM,1,82,112,30,0,3,0
342,3,Train,0,237,106,120,0,3,0
343,3,Car,0,70,40,1,1,3,0
343,3,SM,1,50,68,30,1,3,0
343,3,Train,0,125,64,120,1,3,0
344,3,Car,0,60,35,1,1,2,0
344,3,SM,1,95,65,30,1,2,0
344,3,Train,0,175,55,120,1,2,0
345,3,Car,0,100,100,1,1,3,0
345,3,SM,1,81,84,30,1,3,0
345,3,Train,0,164,82,120,1,3,0
347,2,SM,1,51,81,30,1,2,0
347,2,Train,0,123,72,120,1,2,0
348,3,Car,0,150,80,1,1,2,0
348,3,SM,1,107,92,30,1,2,0
348,3,Train,0,192,89,120,1,2,0
349,2,SM,1,138,112,10,0,2,0
349,2,Train,0,283,99,30,0,2,0
352,3,Car,0,143,65,1,0,2,0
352,3,SM,1,77,90,20,0,2,0
352,3,Train,0,153,82,120,0,2,0
355,3,Car,0,150,90,1,1,3,0
355,3,SM,1,80,99,30,1,3,0
355,3,Train,0,190,97,120,1,3,0
357,2,SM,1,143,140,10,0,1,0
357,2,Train,0,313,127,30,0,1,0
358,2,SM,1,34,34,20,0,1,0
358,2,Train,0,87,26,120,0,1,0
359,2,SM,1,48,89,10,0,2,0
359,2,Train,0,111,74,30,0,2,0
360,3,Car,0,120,76,1,0,2,0
360,3,SM,0,79,194,10,0,2,0
360,3,Train,1,208,176,30,0,2,0
361,2,SM,1,95,169,30,1,3,0
361,2,Train,0,175,163,120,1,3,0
362,3,Car,0,182,85,1,1,3,0
362,3,SM,1,76,237,20,1,3,0
362,3,Train,0,189,211,120,1,3,0
365,3,Car,0,110,200,1,1,3,0
365,3,SM,1,91,189,30,1,3,0
365,3,Train,0,159,184,120,1,3,0
366,3,Car,1,91,40,1,1,1,0
366,3,SM,0,61,136,20,1,1,0
366,3,Train,0,85,119,120,1,1,0
367,3,Car,0,140,80,1,0,3,0
367,3,SM,1,54,100,30,0,3,0
367,3,Train,0,204,100,120,0,3,0
369,3,Car,0,260,145,1,1,2,0
369,3,SM,1,53,108,20,1,2,0
369,3,Train,0,161,100,120,1,2,0
391,3,Car,1,90,50,1,0,2,0
391,3,SM,0,119,196,30,0,2,0
391,3,Train,0,169,196,120,0,2,0
393,3,Car,0,60,70,1,1,3,0
393,3,SM,1,31,245,30,1,3,0
393,3,Train,0,64,245,120,1,3,0
394,3,Car,0,234,150,1,1,2,0
394,3,SM,1,104,624,20,1,2,0
394,3,Train,0,217,576,120,1,2,0
395,2,SM,1,99,289,20,0,3,0
395,2,Train,0,152,266,120,0,3,0
396,3,Car,0,156,80,1,1,2,0
396,3,SM,1,51,75,20,1,2,0
396,3,Train,0,127,70,120,1,2,0
397,2,SM,0,93,38,20,0,1,0
397,2,Train,1,146,31,120,0,1,0
398,2,SM,0,87,24,10,0,1,0
398,2,Train,1,164,22,30,0,1,0
400,3,Car,0,117,45,1,0,2,1
400,3,SM,1,51,50,20,0,2,1
400,3,Train,0,106,46,120,0,2,1
401,3,Car,0,60,50,1,1,2,.5
401,3,SM,1,39,46,30,1,2,.5
401,3,Train,0,111,42,120,1,2,.5
402,2,SM,1,53,30,30,1,1,0
402,2,Train,0,123,29,120,1,1,0
403,3,Car,0,150,85,1,1,2,1
403,3,SM,1,67,60,30,1,2,1
403,3,Train,0,220,60,120,1,2,1
404,3,Car,0,221,95,1,1,2,.5
404,3,SM,1,118,65,20,1,2,.5
