case,noalt,alt,choice,traveltime,cost,freq,male,income,cost_coverage
404,3,Train,0,226,60,120,1,2,.5
410,3,Car,0,90,48,1,1,3,1
410,3,SM,0,34,71,10,1,3,1
410,3,Train,1,99,60,30,1,3,1
411,3,Car,0,182,90,1,1,3,1
411,3,SM,1,66,118,20,1,3,1
411,3,Train,0,179,101,120,1,3,1
415,3,Car,0,80,120,1,1,3,1
415,3,SM,1,44,498,30,1,3,1
415,3,Train,0,116,498,120,1,3,1
416,3,Car,0,156,75,1,1,3,0
416,3,SM,0,101,48,20,1,3,0
416,3,Train,1,125,46,120,1,3,0
417,3,Car,0,110,32,1,0,2,1
417,3,SM,1,96,32,10,0,2,1
417,3,Train,0,168,29,30,0,2,1
418,3,Car,0,85,12,1,0,1,0
418,3,SM,1,49,12,10,0,1,0
418,3,Train,0,78,11,30,0,1,0
419,3,Car,0,70,15,1,1,2,0
419,3,SM,1,51,18,30,1,2,0
419,3,Train,0,87,16,120,1,2,0
424,3,Car,0,80,45,1,0,2,0
424,3,SM,1,35,48,30,0,2,0
424,3,Train,0,110,43,120,0,2,0
425,3,Car,0,180,68,1,0,1,0
425,3,SM,1,119,72,10,0,1,0
425,3,Train,0,190,66,30,0,1,0
426,3,Car,0,90,48,1,1,1,0
426,3,SM,1,63,45,10,1,1,0
426,3,Train,0,134,40,30,1,1,0
428,3,Car,0,110,80,1,0,3,.5
428,3,SM,1,49,50,30,0,3,.5
428,3,Train,0,151,48,120,0,3,.5
429,3,Car,0,90,60,1,0,2,0
429,3,SM,1,71,103,30,0,2,0
429,3,Train,0,151,100,120,0,2,0
430,3,Car,0,100,120,1,0,2,1
430,3,SM,1,98,71,10,0,2,1
430,3,Train,0,126,68,30,0,2,1
436,3,Car,0,280,160,1,1,2,0
436,3,SM,1,160,146,10,1,2,0
436,3,Train,0,331,133,30,1,2,0
437,3,Car,0,200,100,1,1,2,0
437,3,SM,0,91,281,30,1,2,0
437,3,Train,1,267,262,120,1,2,0
439,3,Car,0,90,44,1,1,3,0
439,3,SM,1,52,147,10,1,3,0
439,3,Train,0,121,130,30,1,3,0
440,3,Car,0,90,16,1,0,1,0
440,3,SM,1,71,20,10,0,1,0
440,3,Train,0,110,18,30,0,1,0
441,2,SM,1,62,6,20,1,1,0
441,2,Train,0,115,6,120,1,1,0
443,3,Car,0,299,145,1,1,1,0
443,3,SM,1,104,94,20,1,1,0
443,3,Train,0,271,79,120,1,1,0
444,3,Car,0,70,45,1,1,2,0
444,3,SM,1,47,38,30,1,2,0
444,3,Train,0,126,31,120,1,2,0
445,3,Car,0,65,30,1,0,1,0
445,3,SM,1,30,25,20,0,1,0
445,3,Train,0,54,19,120,0,1,0
446,3,Car,0,91,40,1,0,2,0
446,3,SM,1,55,40,20,0,2,0
446,3,Train,0,110,31,120,0,2,0
447,3,Car,0,104,40,1,1,3,0
447,3,SM,1,49,40,20,1,3,0
447,3,Train,0,104,31,120,1,3,0
448,3,Car,1,100,48,1,1,2,0
448,3,SM,0,66,38,10,1,2,0
448,3,Train,0,138,35,30,1,2,0
449,3,Car,0,180,100,1,1,2,0
449,3,SM,1,135,74,30,1,2,0
449,3,Train,0,299,70,120,1,2,0
450,3,Car,0,130,60,1,0,2,0
450,3,SM,1,70,54,20,0,2,0
450,3,Train,0,119,50,120,0,2,0
451,3,Car,0,200,100,1,0,1,1
451,3,SM,1,202,66,10,0,1,1
451,3,Train,0,341,62,30,0,1,1
452,3,Car,0,70,32,1,1,3,1
452,3,SM,0,67,48,10,1,3,1
452,3,Train,1,96,22,30,1,3,1
453,3,Car,0,325,160,1,0,2,1
453,3,SM,1,71,82,20,0,2,1
453,3,Train,0,200,74,120,0,2,1
454,3,Car,0,200,115,1,0,2,.5
454,3,SM,1,50,66,30,0,2,.5
454,3,Train,0,193,62,120,0,2,.5
455,3,Car,1,120,56,1,1,2,.5
455,3,SM,0,55,45,10,1,2,.5
455,3,Train,0,146,40,30,1,2,.5
456,3,Car,1,90,44,1,1,2,0
456,3,SM,0,94,70,10,1,2,0
456,3,Train,0,120,63,30,1,2,0
457,3,Car,0,91,45,1,1,3,0
457,3,SM,1,34,76,20,1,3,0
457,3,Train,0,89,60,120,1,3,0
458,3,Car,0,130,60,1,1,2,0
458,3,SM,1,65,106,20,1,2,0
458,3,Train,0,120,96,120,1,2,0
459,3,Car,1,170,76,1,1,3,0
459,3,SM,0,90,123,10,1,3,0
459,3,Train,0,222,111,30,1,3,0
460,3,Car,1,40,24,1,1,3,0
460,3,SM,0,124,50,10,1,3,0
460,3,Train,0,163,43,30,1,3,0
461,3,Car,0,91,35,1,1,1,0
461,3,SM,1,34,76,20,1,1,0
461,3,Train,0,89,60,120,1,1,0
462,3,Car,1,91,40,1,0,1,0
462,3,SM,0,71,76,20,0,1,0
462,3,Train,0,126,62,120,0,1,0
463,3,Car,1,91,40,1,1,3,0
463,3,SM,0,90,80,20,1,3,0
463,3,Train,0,145,64,120,1,3,0
464,3,Car,0,117,55,1,1,2,0
464,3,SM,1,37,98,20,1,2,0
464,3,Train,0,92,84,120,1,2,0
465,3,Car,0,273,120,1,1,1,0
465,3,SM,1,71,165,20,1,1,0
465,3,Train,0,200,148,120,1,1,0
466,3,Car,1,100,60,1,1,2,0
466,3,SM,0,60,103,30,1,2,0
466,3,Train,0,130,100,120,1,2,0
467,3,Car,0,130,70,1,0,2,0
467,3,SM,1,64,103,20,0,2,0
467,3,Train,0,119,91,120,0,2,0
468,3,Car,1,140,95,1,1,2,0
468,3,SM,0,103,103,30,1,2,0
468,3,Train,0,191,103,120,1,2,0
469,3,Car,0,65,30,1,1,3,1
469,3,SM,1,30,50,20,1,3,1
469,3,Train,0,54,40,120,1,3,1
470,3,Car,0,221,135,1,1,2,1
470,3,SM,1,81,149,20,1,2,1
470,3,Train,0,189,133,120,1,2,1
471,3,Car,1,170,88,1,1,3,1
471,3,SM,0,91,123,10,1,3,1
471,3,Train,0,227,106,30,1,3,1
473,3,Car,0,299,165,1,1,3,.5
473,3,SM,1,280,210,20,1,3,.5
473,3,Train,0,388,193,120,1,3,.5
474,3,Car,1,70,32,1,0,1,.5
474,3,SM,0,51,63,10,0,1,.5
474,3,Train,0,118,53,30,0,1,.5
475,3,Car,0,110,64,1,0,2,.5
475,3,SM,1,55,90,10,0,2,.5
475,3,Train,0,146,80,30,0,2,.5
476,3,Car,0,200,130,1,1,2,.5
476,3,SM,1,785,144,30,1,2,.5
476,3,Train,0,1022,137,120,1,2,.5
477,3,Car,1,130,60,1,0,2,0
477,3,SM,0,120,90,20,0,2,0
477,3,Train,0,175,89,120,0,2,0
478,3,Car,0,190,132,1,1,3,0
478,3,SM,1,81,118,10,1,3,0
478,3,Train,0,236,105,30,1,3,0
479,3,Car,0,40,24,1,1,2,0
479,3,SM,1,32,34,10,1,2,0
479,3,Train,0,61,29,30,1,2,0
480,3,Car,0,210,125,1,1,2,0
480,3,SM,1,63,133,30,1,2,0
480,3,Train,0,236,126,120,1,2,0
481,3,Car,1,40,28,1,1,3,0
481,3,SM,0,32,34,10,1,3,0
481,3,Train,0,61,29,30,1,3,0
482,3,Car,1,170,110,1,1,3,0
482,3,SM,0,153,118,30,1,3,0
482,3,Train,0,303,108,120,1,3,0
483,3,Car,0,130,70,1,1,2,0
483,3,SM,1,74,90,20,1,2,0
483,3,Train,0,129,82,120,1,2,0
484,3,Car,1,60,24,1,1,3,1
484,3,SM,0,93,56,10,1,3,1
484,3,Train,0,119,36,30,1,3,1
485,3,Car,0,110,75,1,1,2,1
485,3,SM,1,61,84,30,1,2,1
485,3,Train,0,168,82,120,1,2,1
486,3,Car,0,170,100,1,1,3,1
486,3,SM,1,141,105,10,1,3,1
486,3,Train,0,277,90,30,1,3,1
487,3,Car,0,170,84,1,1,3,1
487,3,SM,1,89,105,10,1,3,1
487,3,Train,0,227,90,30,1,3,1
488,3,Car,0,70,36,1,1,3,1
488,3,SM,1,38,50,10,1,3,1
488,3,Train,0,103,42,30,1,3,1
489,3,Car,0,200,108,1,1,2,1
489,3,SM,1,131,112,10,1,2,1
489,3,Train,0,275,105,30,1,2,1
490,3,Car,0,234,115,1,1,3,1
490,3,SM,1,108,133,20,1,3,1
490,3,Train,0,216,116,120,1,3,1
491,3,Car,0,120,70,1,1,2,1
491,3,SM,1,85,92,30,1,2,1
491,3,Train,0,169,89,120,1,2,1
492,3,Car,0,180,105,1,1,3,1
492,3,SM,1,116,118,30,1,3,1
492,3,Train,0,265,110,120,1,3,1
493,3,Car,1,90,60,1,1,3,.5
493,3,SM,0,42,81,30,1,3,.5
493,3,Train,0,118,78,120,1,3,.5
494,3,Car,0,190,124,1,1,3,.5
494,3,SM,1,123,97,10,1,3,.5
494,3,Train,0,230,90,30,1,3,.5
495,3,Car,1,169,70,1,1,2,0
495,3,SM,0,72,194,20,1,2,0
495,3,Train,0,127,184,120,1,2,0
496,3,Car,1,182,95,1,1,3,0
496,3,SM,0,99,218,20,1,3,0
496,3,Train,0,154,200,120,1,3,0
497,3,Car,1,140,64,1,1,3,0
497,3,SM,0,176,162,10,1,3,0
497,3,Train,0,255,153,30,1,3,0
498,3,Car,0,234,110,1,0,3,0
498,3,SM,1,121,225,20,0,3,0
498,3,Train,0,197,211,120,0,3,0
499,3,Car,0,170,110,1,1,3,1
499,3,SM,1,62,225,30,1,3,1
499,3,Train,0,209,211,120,1,3,1
500,3,Car,0,160,105,1,1,3,1
500,3,SM,1,139,225,30,1,3,1
500,3,Train,0,225,221,120,1,3,1
501,3,Car,0,221,135,1,1,3,1
501,3,SM,1,56,237,20,1,3,1
501,3,Train,0,164,211,120,1,3,1
502,3,Car,1,90,60,1,1,3,1
502,3,SM,0,78,162,30,1,3,1
502,3,Train,0,150,145,120,1,3,1
503,3,Car,1,130,80,1,1,3,1
503,3,SM,0,133,167,30,1,3,1
503,3,Train,0,229,170,120,1,3,1
504,3,Car,1,170,110,1,1,3,1
504,3,SM,0,112,218,30,1,3,1
504,3,Train,0,230,217,120,1,3,1
505,3,Car,1,220,185,1,1,2,1
505,3,SM,0,112,293,30,1,2,1
505,3,Train,0,344,270,120,1,2,1
506,3,Car,1,220,92,1,1,2,1
506,3,SM,0,170,237,10,1,2,1
506,3,Train,0,318,218,30,1,2,1
507,3,Car,1,90,48,1,1,3,1
507,3,SM,0,115,121,10,1,3,1
507,3,Train,0,147,111,30,1,3,1
508,3,Car,1,210,88,1,1,2,1
508,3,SM,0,93,210,10,1,2,1
508,3,Train,0,228,184,30,1,2,1
509,3,Car,1,170,88,1,1,3,.5
509,3,SM,0,64,194,10,1,3,.5
509,3,Train,0,193,176,30,1,3,.5
510,3,Car,0,221,95,1,1,3,0
510,3,SM,1,66,25,20,1,3,0
510,3,Train,0,174,23,120,1,3,0
511,3,Car,0,110,75,1,1,3,0
511,3,SM,1,37,23,30,1,3,0
511,3,Train,0,112,23,120,1,3,0
512,3,Car,0,299,140,1,1,2,0
512,3,SM,1,99,91,20,1,2,0
512,3,Train,0,266,77,120,1,2,0
513,3,Car,1,70,40,1,1,3,0
513,3,SM,0,47,34,10,1,3,0
513,3,Train,0,116,31,30,1,3,0
514,3,Car,1,182,95,1,0,2,0
514,3,SM,0,154,62,20,0,2,0
514,3,Train,0,209,59,120,0,2,0
515,3,Car,1,110,60,1,1,2,0
515,3,SM,0,113,56,30,1,2,0
515,3,Train,0,200,55,120,1,2,0
516,3,Car,0,90,48,1,1,2,0
516,3,SM,1,73,43,10,1,2,0
516,3,Train,0,149,40,30,1,2,0
517,3,Car,0,143,70,1,1,2,0
517,3,SM,1,96,48,20,1,2,0
517,3,Train,0,151,46,120,1,2,0
518,3,Car,0,170,100,1,1,2,0
518,3,SM,1,74,72,30,1,2,0
518,3,Train,0,224,67,120,1,2,0
519,3,Car,1,140,80,1,1,1,0
519,3,SM,0,68,132,30,1,1,0
519,3,Train,0,221,119,120,1,1,0
520,3,Car,1,170,115,1,1,3,0
520,3,SM,0,138,132,30,1,3,0
520,3,Train,0,256,127,120,1,3,0
521,3,Car,1,90,55,1,1,2,0
521,3,SM,0,89,83,30,1,2,0
521,3,Train,0,120,82,120,1,2,0
522,3,Car,0,156,80,1,0,2,0
522,3,SM,1,49,106,20,0,2,0
522,3,Train,0,125,96,120,0,2,0
523,3,Car,1,180,95,1,0,2,0
523,3,SM,0,74,144,30,0,2,0
523,3,Train,0,221,133,120,0,2,0
524,3,Car,1,100,48,1,1,2,0
524,3,SM,0,67,90,10,1,2,0
524,3,Train,0,130,80,30,1,2,0
526,3,Car,1,290,172,1,1,2,.5
526,3,SM,0,140,172,10,1,2,.5
526,3,Train,0,375,156,30,1,2,.5
527,3,Car,0,273,115,1,0,2,0
527,3,SM,1,101,15,20,0,2,0
527,3,Train,0,226,14,120,0,2,0
528,3,Car,0,80,50,1,1,2,0
528,3,SM,1,34,14,30,1,2,0
528,3,Train,0,106,14,120,1,2,0
530,3,Car,1,273,140,1,1,3,0
530,3,SM,0,71,140,20,1,3,0
530,3,Train,0,200,126,120,1,3,0
531,3,Car,0,170,105,1,0,1,0
531,3,SM,1,50,112,30,0,1,0
531,3,Train,0,193,106,120,0,1,0
532,3,Car,0,210,125,1,0,1,0
532,3,SM,1,140,118,30,0,1,0
532,3,Train,0,238,116,120,0,1,0
533,3,Car,1,150,76,1,1,3,0
533,3,SM,0,143,90,10,1,3,0
533,3,Train,0,250,84,30,1,3,0
534,3,Car,0,220,135,1,1,2,0
534,3,SM,1,95,140,30,1,2,0
534,3,Train,0,272,131,120,1,2,0
535,3,Car,0,210,128,1,1,2,.5
535,3,SM,1,153,127,10,1,2,.5
535,3,Train,0,317,112,30,1,2,.5
538,3,Car,1,90,44,1,1,3,0
538,3,SM,0,124,136,10,1,3,0
538,3,Train,0,150,130,30,1,3,0
539,3,Car,1,110,65,1,1,2,.5
539,3,SM,0,90,142,30,1,2,.5
539,3,Train,0,120,130,120,1,2,.5
540,3,Car,0,130,80,1,1,3,0
540,3,SM,1,126,23,30,1,3,0
540,3,Train,0,206,23,120,1,3,0
545,3,Car,1,90,44,1,1,3,0
545,3,SM,0,54,38,10,1,3,0
545,3,Train,0,126,32,30,1,3,0
546,3,Car,0,273,125,1,1,2,0
546,3,SM,1,164,72,20,1,2,0
546,3,Train,0,240,68,120,1,2,0
547,3,Car,0,100,65,1,1,2,0
547,3,SM,1,90,42,30,1,2,0
547,3,Train,0,120,38,120,1,2,0
548,3,Car,1,90,40,1,1,2,0
548,3,SM,0,41,42,10,1,2,0
548,3,Train,0,106,35,30,1,2,0
549,3,Car,0,91,40,1,0,2,0
549,3,SM,1,34,38,20,0,2,0
549,3,Train,0,89,30,120,0,2,0
550,3,Car,1,80,36,1,1,2,0
550,3,SM,0,41,42,10,1,2,0
550,3,Train,0,106,35,30,1,2,0
551,3,Car,1,120,48,1,1,2,0
551,3,SM,0,132,43,10,1,2,0
551,3,Train,0,212,42,30,1,2,0
552,3,Car,0,143,60,1,1,1,0
552,3,SM,1,138,57,20,1,1,0
552,3,Train,0,193,54,120,1,1,0
553,3,Car,0,170,84,1,1,2,0
553,3,SM,1,96,58,10,1,2,0
553,3,Train,0,233,53,30,1,2,0
554,3,Car,0,100,60,1,1,3,0
554,3,SM,1,48,49,30,1,3,0
554,3,Train,0,125,46,120,1,3,0
555,3,Car,0,220,145,1,1,2,0
555,3,SM,1,85,82,30,1,2,0
555,3,Train,0,264,77,120,1,2,0
556,3,Car,0,60,32,1,0,2,1
556,3,SM,1,49,28,10,0,2,1
556,3,Train,0,116,25,30,0,2,1
557,3,Car,0,140,75,1,1,2,1
557,3,SM,1,61,66,30,1,2,1
557,3,Train,0,214,62,120,1,2,1
558,3,Car,0,221,95,1,1,2,1
558,3,SM,1,91,74,20,1,2,1
558,3,Train,0,199,65,120,1,2,1
559,3,Car,0,100,60,1,1,3,1
559,3,SM,1,52,50,30,1,3,1
559,3,Train,0,130,48,120,1,3,1
560,3,Car,0,182,80,1,1,3,1
560,3,SM,1,61,66,20,1,3,1
560,3,Train,0,174,59,120,1,3,1
561,3,Car,0,180,76,1,1,2,1
561,3,SM,1,146,53,10,1,2,1
561,3,Train,0,212,49,30,1,2,1
562,3,Car,0,90,55,1,1,3,1
562,3,SM,1,31,34,30,1,3,1
562,3,Train,0,103,30,120,1,3,1
563,3,Car,0,110,65,1,1,2,1
563,3,SM,1,74,52,30,1,2,1
563,3,Train,0,156,50,120,1,2,1
564,3,Car,1,130,55,1,1,3,1
564,3,SM,0,115,54,20,1,3,1
564,3,Train,0,164,52,120,1,3,1
565,3,Car,1,110,56,1,1,1,1
565,3,SM,0,75,46,10,1,1,1
565,3,Train,0,149,42,30,1,1,1
566,3,Car,0,160,105,1,1,2,1
566,3,SM,1,97,72,30,1,2,1
566,3,Train,0,245,65,120,1,2,1
567,3,Car,0,130,65,1,1,2,1
567,3,SM,1,53,54,20,1,2,1
567,3,Train,0,108,50,120,1,2,1
568,3,Car,1,110,44,1,1,2,1
568,3,SM,0,84,46,10,1,2,1
568,3,Train,0,159,42,30,1,2,1
569,3,Car,0,150,68,1,1,2,1
569,3,SM,1,69,56,10,1,2,1
569,3,Train,0,205,49,30,1,2,1
570,3,Car,0,140,64,1,1,2,1
570,3,SM,1,149,54,10,1,2,1
570,3,Train,0,233,50,30,1,2,1
571,3,Car,0,170,125,1,1,3,1
571,3,SM,1,50,66,30,1,3,1
571,3,Train,0,193,62,120,1,3,1
572,3,Car,0,200,125,1,0,3,1
572,3,SM,1,91,70,30,0,3,1
572,3,Train,0,240,64,120,0,3,1
573,3,Car,0,130,52,1,1,2,1
573,3,SM,1,128,49,10,1,2,1
573,3,Train,0,211,46,30,1,2,1
574,3,Car,0,104,65,1,1,2,1
574,3,SM,0,50,50,20,1,2,1
574,3,Train,1,105,43,120,1,2,1
575,3,Car,1,90,40,1,1,2,1
575,3,SM,0,60,43,10,1,2,1
575,3,Train,0,131,38,30,1,2,1
576,3,Car,1,270,180,1,1,2,1
576,3,SM,0,176,80,30,1,2,1
576,3,Train,0,281,79,120,1,2,1
577,3,Car,1,130,64,1,1,3,1
577,3,SM,0,109,52,10,1,3,1
577,3,Train,0,184,48,30,1,3,1
578,3,Car,1,160,88,1,1,3,1
578,3,SM,0,109,62,10,1,3,1
578,3,Train,0,255,54,30,1,3,1
579,3,Car,0,150,90,1,1,3,1
579,3,SM,1,115,58,30,1,3,1
579,3,Train,0,225,58,120,1,3,1
580,3,Car,0,120,64,1,1,2,1
580,3,SM,1,122,53,10,1,2,1
580,3,Train,0,200,49,30,1,2,1
581,3,Car,0,220,180,1,1,2,1
581,3,SM,1,170,78,30,1,2,1
581,3,Train,0,339,74,120,1,2,1
582,3,Car,0,170,95,1,1,2,1
582,3,SM,1,50,66,30,1,2,1
582,3,Train,0,193,62,120,1,2,1
583,3,Car,0,140,95,1,1,3,1
583,3,SM,1,139,58,30,1,3,1
583,3,Train,0,251,58,120,1,3,1
585,3,Car,0,143,60,1,0,2,.5
585,3,SM,1,76,53,20,0,2,.5
585,3,Train,0,128,50,120,0,2,.5
586,3,Car,1,80,40,1,1,3,.5
586,3,SM,0,65,43,10,1,3,.5
586,3,Train,0,135,38,30,1,3,.5
587,3,Car,0,150,76,1,1,3,.5
587,3,SM,1,69,56,10,1,3,.5
587,3,Train,0,205,49,30,1,3,.5
588,3,Car,0,65,25,1,1,3,.5
588,3,SM,1,48,26,20,1,3,.5
588,3,Train,0,72,22,120,1,3,.5
589,3,Car,1,150,68,1,1,2,.5
589,3,SM,0,142,56,10,1,2,.5
589,3,Train,0,210,52,30,1,2,.5
590,3,Car,0,170,76,1,1,3,.5
590,3,SM,1,167,62,10,1,3,.5
590,3,Train,0,252,56,30,1,3,.5
591,3,Car,0,170,84,1,1,2,.5
591,3,SM,1,64,57,10,1,2,.5
591,3,Train,0,193,52,30,1,2,.5
592,3,Car,0,208,90,1,1,3,.5
592,3,SM,1,143,64,20,1,3,.5
592,3,Train,0,186,60,120,1,3,.5
599,3,Car,0,143,60,1,1,1,0
599,3,SM,1,37,98,20,1,1,0
599,3,Train,0,92,84,120,1,1,0
600,3,Car,0,120,64,1,1,2,0
600,3,SM,1,96,99,10,1,2,0
600,3,Train,0,171,91,30,1,2,0
601,3,Car,1,143,65,1,1,2,0
601,3,SM,0,94,114,20,1,2,0
601,3,Train,0,149,108,120,1,2,0
602,3,Car,1,180,104,1,1,1,0
602,3,SM,0,117,123,10,1,1,0
602,3,Train,0,254,111,30,1,1,0
603,3,Car,1,80,36,1,1,2,0
603,3,SM,0,41,83,10,1,2,0
603,3,Train,0,106,70,30,1,2,0
604,3,Car,0,180,110,1,1,2,0
604,3,SM,1,55,128,30,1,2,0
604,3,Train,0,205,118,120,1,2,0
605,3,Car,1,120,64,1,1,2,0
605,3,SM,0,96,99,10,1,2,0
605,3,Train,0,171,91,30,1,2,0
606,3,Car,0,90,44,1,1,2,0
606,3,SM,1,41,83,10,1,2,0
606,3,Train,0,106,70,30,1,2,0
607,3,Car,0,286,130,1,1,2,0
607,3,SM,1,80,177,20,1,2,0
607,3,Train,0,247,154,120,1,2,0
609,3,Car,0,90,50,1,1,2,0
609,3,SM,1,34,91,30,1,2,0
609,3,Train,0,106,84,120,1,2,0
610,3,Car,1,100,48,1,1,2,0
610,3,SM,0,70,90,10,1,2,0
610,3,Train,0,143,80,30,1,2,0
611,3,Car,0,120,70,1,1,1,0
611,3,SM,1,57,99,30,1,1,0
611,3,Train,0,164,96,120,1,1,0
612,3,Car,1,169,70,1,0,2,0
612,3,SM,0,109,144,20,0,2,0
612,3,Train,0,192,119,120,0,2,0
613,3,Car,1,150,95,1,1,2,0
613,3,SM,0,92,108,30,1,2,0
613,3,Train,0,164,108,120,1,2,0
614,3,Car,0,190,115,1,1,2,1
614,3,SM,1,63,156,30,1,2,1
614,3,Train,0,236,148,120,1,2,1
615,3,Car,1,170,84,1,1,2,1
615,3,SM,0,89,123,10,1,2,1
615,3,Train,0,222,108,30,1,2,1
616,3,Car,0,286,135,1,1,2,1
616,3,SM,1,80,177,20,1,2,1
616,3,Train,0,247,154,120,1,2,1
617,3,Car,0,90,48,1,1,3,1
617,3,SM,1,53,86,10,1,3,1
617,3,Train,0,125,76,30,1,3,1
618,3,Car,0,273,135,1,1,3,1
618,3,SM,1,71,165,20,1,3,1
618,3,Train,0,200,148,120,1,3,1
620,3,Car,0,90,56,1,1,2,1
620,3,SM,1,41,83,10,1,2,1
620,3,Train,0,106,70,30,1,2,1
621,3,Car,0,80,55,1,1,2,1
621,3,SM,1,40,80,30,1,2,1
621,3,Train,0,116,74,120,1,2,1
